                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.33014,                 0.3179,                      1,                 1.1356,               0.070417,               0.003287,               0.003287
                      1,                0.31048,                0.30864,                      1,                 1.1165,               0.039761,               0.005965,               0.005965
                      2,                0.30321,                0.27778,                      1,                 1.1274,              0.0084458,              0.0079829,              0.0079829
                      3,                0.28552,                0.39815,                      1,                 1.1074,                0.00703,                0.00703,                0.00703
