                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.00581,                0.73765,                      1,                0.84288,               0.070417,               0.003287,               0.003287
                      1,                 0.0043,                0.73148,                      1,                0.84043,               0.039761,               0.005965,               0.005965
                      2,                 0.0039,                0.74383,                      1,                0.84175,              0.0084458,              0.0079829,              0.0079829
                      3,                0.00486,                0.73457,                      1,                0.84436,                0.00703,                0.00703,                0.00703
                      4,                0.00826,                0.71914,                      1,                0.86639,                0.00703,                0.00703,                0.00703
                      5,                0.01142,                0.73765,                      1,                0.83433,                0.00604,                0.00604,                0.00604
                      6,                0.00908,                0.73765,                      1,                0.84446,                0.00505,                0.00505,                0.00505
                      7,                0.01101,                0.70988,                      1,                0.86263,                0.00406,                0.00406,                0.00406
                      8,                0.00766,                0.72531,                      1,                0.85077,                0.00307,                0.00307,                0.00307
                      9,                0.00778,                0.71914,                      1,                0.84688,                0.00208,                0.00208,                0.00208
