                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.02124,                0.73765,                      1,                0.84263,               0.070417,               0.003287,               0.003287
                      1,                0.01615,                0.73765,                      1,                0.84821,               0.039761,               0.005965,               0.005965
                      2,                0.04213,                0.64506,                      1,                0.91738,              0.0084458,              0.0079829,              0.0079829
                      3,                0.10553,                0.57099,                      1,                0.96573,                0.00703,                0.00703,                0.00703
                      4,                0.12977,                0.65432,                      1,                0.91853,                0.00703,                0.00703,                0.00703
                      5,                0.07642,                0.63272,                      1,                0.92796,                0.00604,                0.00604,                0.00604
                      6,                0.04309,                0.69753,                      1,                0.87373,                0.00505,                0.00505,                0.00505
                      7,                0.01883,                0.73457,                      1,                0.85639,                0.00406,                0.00406,                0.00406
                      8,                0.01073,                0.73765,                      1,                0.84081,                0.00307,                0.00307,                0.00307
                      9,                0.00986,                0.75309,                      1,                0.83626,                0.00208,                0.00208,                0.00208
